Name,Price,Sold,Rating,Brand,Type,Source
"MUSETEX ATX PC Case Pre-Installed 6Pcs 120mm ARGB Fans, Computer Gaming Cases, Mid Tower Case with Mesh Front Panel and Tempered Glass Side Door,USB 3.0 x 2, Black, Y4-N6",3210,10,4.4,musetex,Computercase,Amazon
"Cooler Master MasterBox TD500 Mesh White Airflow ATX Mid-Tower with Polygonal Mesh Front Panel, Crystalline Tempered Glass, E-ATX up to 10.5"", Three 120mm ARGB Lighting Fans",4779,7072,4.7,cooler master,Computercase,Amazon
"Noctua NF-A12x25 PWM chromax.Black.swap, Premium Quiet Fan, 4-Pin (120mm, Black)",1173,1105,4.8,noctua,Computercase,Amazon
"Thermaltake Core V21 SPCC Micro ATX, Mini ITX Cube Gaming Computer Case Chassis, Small Form Factor Builds, 200mm Front Fan Pre-installed, CA-1D5-00S1WN-00 Black",2853,3856,4.7,thermaltake,Computercase,Amazon
"ARESGAME at-M1 Mid-Tower PC Case, Transparent Side Panel and ATX/M-ATX Support, Liquid Cooling Support up to 240mm Radiator, Black",2139,70,4.7,aresgame,Computercase,Amazon
"Zalman Z1 Iceberg mATX Mini Tower Gaming Computer Cases, Full Mesh, Hinged Side Panel & Tempered Glass, USB 3.0 (White)",2425,16,4.4,zalman,Computercase,Amazon
Segotep Phoenix ATX Black Mid Tower PC Gaming Computer Case USB 3.0 Type-C Ports / Graphics Card Vertical Mounting with Tempered Glass & RGB Front Panel (PC Case ONLY),6420,634,4.4,segotep,Computercase,Amazon
"LIAN LI O11 Dynamic EVO Gaming PC Case E-ATX Desktop Computer Case - Mid Tower Chassis with Flexible Mode and Configuration, Tempered Glass Panel, USB Type-C Port, Easy Cable Management (Harbor Grey)",10699,17,5,lian li,Computercase,Amazon
"Raidmax Gaming PC Case ATX Mid Tower Case with 3 Pcs 120mm ARGB Fans, Ideal Black Computer Case for PC Gamer and Tempered Glass Computer Chassis Supporting USB 3.0-X627",2496,61,4,raidmax,Computercase,Amazon
"GAMEMAX Micro-ATX Tower Computer Case with Removable Dust-Proof Filter, Dual Tempered Glass Side Panels, PC Gaming Chassis (Spark-White)",2568,98,4.5,gamemax,Computercase,Amazon
"GIM Micro ATX Case, Mini-ITX Gaming PC Case 2 Tempered Glass Panels & Front Panel Micro ATX PC Case Mini Tower Computer Case USB 3.0 I/O Port, Rhythm Surround Light, Water-Cooling Ready",4280,25,4.2,gim,Computercase,Amazon
"Balam Rush, Legend Series, Skydron - GT995, Full Tower, E-ATX, RGB, Black",8557,10,3.9,balam rush,Computercase,Amazon
Redragon M602 RGB Wired Gaming Mouse RGB Spectrum Backlit Ergonomic Mouse Griffin Programmable with 7 Backlight Modes up to 7200 DPI for Windows PC Gamers (Black),820,29457,4.7,redragon,Mouse,Amazon
